0 0.00490888 3779.52973621 3821.93664122
1 0.00493116 3803.14380768 3845.82344237
2 0.00630100 3827.05618249 3870.00844569
3 0.00834304 3851.27170283 3894.49900190
4 0.01375148 3875.79642793 3919.30115839
5 0.01284041 3900.63535514 3944.42168717
6 0.01367758 3925.79409038 3969.86601615
7 0.02613441 3951.27934252 3995.64126035
8 0.04716364 3977.09784586 4021.75253863
9 0.05379166 4003.25591316 4048.20845609
10 0.05441231 4029.76042105 4075.01448798
11 0.06687657 4056.61864650 4102.17690692
12 0.08061872 4083.83713095 4129.70439037
13 0.08102002 4111.42463879 4157.60431296
14 0.08708185 4139.38515964 4185.88318070
15 0.09513123 4167.72908381 4214.54919241
16 0.09975729 4196.46535504 4243.61102670
17 0.10056215 4225.59743550 4273.07642347
18 0.09934684 4255.13944167 4302.95431210
19 0.10468701 4285.09788803 4333.25165837
20 0.15886168 4315.48015999 4363.97912269
21 0.16191019 4346.29694204 4395.14586465
22 0.17380737 4377.55526741 4426.76075266
23 0.21335354 4409.26948636 4458.83384910
24 0.23789968 4441.44488032 4491.37499583
25 0.26324570 4474.09185087 4524.39429048
26 0.27369067 4507.22418114 4557.90276458
27 0.29484308 4540.85084844 4591.91285977
28 0.31424311 4574.98408800 4626.43177865
29 0.33150405 4609.63280174 4661.47491896
30 0.34768498 4644.81083770 4697.05215815
31 0.37394813 4680.52983743 4733.17710480
32 0.39966813 4716.80228362 4769.86202379
33 0.42763898 4753.64370973 4807.11928953
34 0.45491919 4791.06151578 4844.96438859
35 0.45768774 4829.07450898 4883.40992923
36 0.48736554 4867.69634179 4922.46970880
37 0.51367903 4906.94088635 4962.15986471
38 0.53986573 4946.82384211 5002.49451363
39 0.54968631 4987.35904478 5043.49062548
40 0.58161616 5028.56518718 5085.16415212
41 0.59970784 5070.45829276 5127.53238658
42 0.60489589 5113.05500639 5170.61180056
43 0.58787888 5156.37531532 5214.42113042
44 0.71242762 5200.43199291 5258.97923220
45 0.75603139 5245.24959282 5304.30628390
46 0.80270934 5337.21085862 5397.32109483
47 0.80382121 5384.42589730 5445.07109699
48 0.84547836 5432.48291749 5493.67462188
49 0.87591010 5481.40658636 5543.15306894
50 0.89375961 5531.21754698 5593.52960074
51 0.89489770 5581.94338799 5644.83255590
52 0.93078971 5633.60751868 5697.08389491
53 0.95076346 5686.24040538 5750.31145261
54 0.96897191 5739.86248155 5804.54299366
55 1.00000000 5794.50742783 5859.80653471
56 0.93376595 5850.20114190 5916.13367109
57 0.99968112 5906.97892405 5973.55225440
58 0.99674755 5964.86692000 6032.09802340
59 1.01401412 6023.90189005 6091.80139269
60 0.98635459 6084.11724354 6152.69587576
61 0.98127645 6145.54846344 6214.82671418
62 0.96656656 6208.23489649 6278.22255754
63 0.94875163 6272.21210116 6342.92175904
64 0.96943283 6337.52159840 6408.97105634
65 0.94678462 6404.20533342 6476.40975653
66 0.94271541 6472.31234888 6545.28117745
67 0.93007308 6541.87547828 6615.63453591
68 0.94612199 6612.95472281 6687.51628822
69 0.94308054 6685.59691543 6760.97632991
70 0.90282518 6759.85298531 6836.06854018
71 0.82986170 6835.78039689 6912.84767513
