0 0.00001710 5136.50153226 5226.33731181
1 0.00002713 5180.41346716 5270.99485144
2 0.00005462 5225.08222666 5316.42244858
3 0.00025700 5270.52755712 5362.64018750
4 0.00100319 5316.76989778 5409.66885708
5 0.00255979 5363.83041145 5457.52998198
6 0.00462741 5411.73101679 5506.24585549
7 0.00630709 5460.49442241 5555.83957413
8 0.01022891 5510.14416272 5606.33507414
9 0.01272521 5560.70463586 5657.75717003
10 0.01953214 5612.20114369 5710.13159522
11 0.02601217 5664.65993399 5763.48504493
12 0.03795084 5718.10824513 5817.84522159
13 0.04492265 5772.57435325 5873.24088277
14 0.03643670 5828.08762210 5929.70189187
15 0.05820524 5884.67855595 5987.25927185
16 0.07675301 5942.37885540 6045.94526197
17 0.10416740 6001.22147670 6105.79337806
18 0.12278984 6061.24069449 6166.83847632
19 0.12185307 6122.47216845 6229.11682093
20 0.12715426 6184.95301395 6292.66615594
21 0.17958342 6248.72187711 6357.52578151
22 0.23468837 6313.81901454 6423.73663489
23 0.28173897 6380.28637817 6491.34137660
24 0.33995369 6448.16770538 6560.38448204
25 0.36889666 6517.50861511 6630.91233904
26 0.38256621 6588.35671006 6702.97335173
27 0.35636741 6660.76168580 6776.61805131
28 0.37640530 6734.77544703 6851.89921418
29 0.35171622 6810.45223178 6928.87198798
30 0.49414483 6887.84874397 7007.59402629
31 0.56400979 6967.02429528 7088.12563260
32 0.55429643 7048.04095673 7170.52991426
33 0.52950341 7130.96372114 7254.87294738
34 0.69249791 7215.86067707 7341.22395342
35 0.90052438 7302.80319544 7429.65548858
36 1.00000000 7391.86612978 7520.24364702
37 1.04239893 7483.12803127 7613.06827918
38 0.55592376 7576.67138000 7708.21322632
39 0.91894448 7672.58283380 7805.76657307
40 0.96039551 7770.95349616 7905.82091915
41 0.92755997 7871.87920510 8008.47367249
42 0.95028317 7975.46084487 8113.82736525
43 0.75038731 8081.80468258 8221.98999527
44 0.78513569 8191.02273218 8333.07539509
45 0.81962949 8303.23314831 8447.20363126
46 0.78371024 8418.56065315 8564.50143700
47 0.77974647 8537.13699922 8685.10268125
48 0.74472195 8659.10147199 8809.14887800
49 0.69556248 8784.60143621 8936.78973975
50 0.53419816 8913.79293052 9068.18377989
51 0.43372950 9046.84131535 9203.49896884
52 0.36868727 9183.92197980 9342.91344985
53 0.12812351 9325.22111386 9486.61632075
54 0.09171171 9470.93655313 9634.80848893
55 0.05298623 9621.27870408 9787.70360763
56 0.00315090 9776.47155896 9945.52910276
57 0.00003431 9936.75381074 10108.52730049
58 0.00002414 10102.38007967 10276.95666762
59 0.00001218 10273.62226477 10451.09317770
60 0.00001079 10450.77103533 10631.23181847
